Vegetable,Cluster
Spinach,4
Broccoli,0
Carrot,4
Tomato,0
Bell Pepper,0
Kale,4
Cabbage,0
Lettuce,0
Cauliflower,0
Eggplant,0
Cucumber,0
Peas,0
Sweet Potato,4
Beetroot,0
Radish,0
Onion,0
Garlic,2
Mushroom,0
Pumpkin,0
Zucchini,0
Okra,0
Green Beans,0
Corn,2
Asparagus,0
Brussels Sprouts,0
Turnip,0
Celery,0
Parsley,1
Leeks,0
Artichoke,0
Fennel,0
Chard,4
Bok Choy,4
Endive,0
Watercress,4
Arugula,4
Mustard Greens,4
Collard Greens,4
Yam,2
Radicchio,0
Chicory,0
Acorn Squash,4
Butternut Squash,4
Kohlrabi,0
Horseradish,0
Daikon,0
Taro,2
Cassava,2
Lotus Root,0
Purslane,0
Amaranth Leaves,4
Sorrel,4
Tindora (Ivy Gourd),0
Bitter Gourd,0
Snake Gourd,0
Ridge Gourd,0
Bottle Gourd,0
Drumstick Leaves,1
Drumstick Pods,0
Jackfruit Seeds,2
Raw Banana,2
Fenugreek Leaves,4
Tarwi Beans,3
Snow Peas,0
Kohlrabi Leaves,4
Napa Cabbage,0
Pattypan Squash,0
Spaghetti Squash,0
Hubbard Squash,0
Alfalfa Sprouts,0
Radish Leaves,4
